BU_Level_Name,BU_Level_ID,BU_ID,BU_Name,Global Cost (TBU Hier.),Parent_BU,ToLoad,,
BU,4,GCC,C,GCC,GCB,1,1,Region
BU,4,GC2,BU_Name,CBI,GCB,1,,
SubSegment,3,GCB,CB,,GCS,1,2,Segment
BU,4,GC4,A,CAU,GCW,1,,
BU,4,GCH,HC,CHS,GCW,1,3,SubSegment
BU,5,GC6,HCL,,605,1,,
BU,5,675,PRT,,605,1,,
BU,4,605,PS,605,GCW,1,,
SubSegment,3,GCW,VM,,GCS,1,4,BU
,3,699,CSS,,GCS,1,,
,3,686,CBSA,,GCS,1,,
Segment,2,GCS,CAA,,,1,,
Segment,2,PCSbefPP,DGA,,,1,5,SubBU
,"(1 = Region total, not included here)",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BU,4,GD1,ADF,DAT,,,,
BU,4,GDG,FF,GDG,,,,
Segment,2,PDAbef41st,DA,,,,,
Segment,2,GDA,DAS,,,,,
BU,4,GI1,CD,ICD,,,,
BU,4,GI6,AFFF,ICP,,,,
Segment,2,GIA,CSSS,,,,,
BU,4,GMD,TTTT,,,,,
Sub BU,5,PM1bef333,T41,PM1bef333,,,,
Sub BU,5,333,TADT,333,,,,
BU,4,GMM,CSMS,MPL,,,,
BU,4,GMQ,SQA,MDQ,,,,
BU,4,GMC,CI,MCI,,,,
BU,4,GMF,FF,GMF,,,,
BU,4,GMG,GPPPD,MGP,,,,
Segment,2,PMSbef41st,MASS,,,,,
Segment,2,GMS,MSGG,,,,,
Segment,2,GCM,CPR,CCF,,,,
Segment,2,GCP,GTTTPM,,,,,
Region,1,PCAbef41st,TTMANA,,,,,
Segment,2,TFP,TTTFFFP,TFP,,,,
Region,1,GCA,TNA,TRE,,,,
Region,1,PCAbef41st&PP,TNASAS,,,,,
